Highest Charting Position,Number of Times Charted,Song Name,Streams_x,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord,artist_pop,track_pop,mode,key,instrumentalness,time_signature,Explicit,Track_Number_on_Album,Artist_Genres
112,5,feel something,5463424,Bea Miller,2396662,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rap', 'post-teen pop', 'talent show']",75,0.74,0.415,-8.914,0.0707,0.242,0.319,136.029,180161,0.156,C,68,71,1,0,0.000156,4,1,1,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rap', 'post-teen pop', 'talent show']"
86,8,Tap In,5220309,Saweetie,1255573,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",73,0.954,0.696,-7.117,0.204,0.00576,0.0754,100.036,139413,0.432,A#/Bb,73,67,0,10,0.000498,4,1,1,"['cali rap', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'trap queen']"
26,35,WHATS POPPIN,4745752,Jack Harlow,3828418,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",80,0.904,0.723,-5.224,0.26,0.0631,0.185,145.013,227478,0.835,B,84,77,0,11,0.0,4,1,1,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
4,20,GOOBA,4690955,6ix9ine,6514102,"['emo rap', 'rap']",70,0.611,0.688,-5.688,0.341,0.0264,0.251,178.462,132303,0.393,C#/Db,71,7,1,1,0.0,4,1,1,['emo rap']
12,34,Physical,4599807,Dua Lipa,27167675,"['dance pop', 'pop', 'uk pop']",77,0.647,0.844,-3.756,0.0457,0.0137,0.102,146.967,193829,0.746,C,88,75,1,0,0.000658,4,0,1,"['dance pop', 'pop', 'uk pop']"
91,33,Sweet but Psycho,4502853,Ava Max,3916979,"['dance pop', 'pop']",81,0.72,0.706,-4.719,0.0473,0.0684,0.166,133.002,187436,0.62,C#/Db,79,80,1,1,0.0,4,0,1,"['dance pop', 'pop']"
21,29,Boss Bitch,4620838,Doja Cat,8671649,"['dance pop', 'pop']",81,0.707,0.955,-4.593,0.222,0.127,0.202,125.989,134240,0.575,A#/Bb,88,78,0,10,0.0,4,0,1,"['dance pop', 'pop', 'pop rap']"
103,12,Mariposa,4593366,Peach Tree Rascals,177972,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']",76,0.676,0.525,-5.88,0.028,0.617,0.356,112.011,210000,0.421,A,60,74,1,9,0.0,4,0,1,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']"
71,12,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,4624448,Conkarah,67074,['jawaiian'],70,0.824,0.854,-5.312,0.177,0.016,0.117,95.114,210329,0.896,G#/Ab,53,65,1,8,4.95e-05,4,0,1,['jawaiian']
170,1,Freak,4736059,Doja Cat,8671649,"['dance pop', 'pop']",75,0.688,0.716,-5.702,0.0385,0.0969,0.0989,116.912,284480,0.373,G,88,72,1,7,0.0,3,1,1,"['dance pop', 'pop', 'pop rap']"
16,20,Savage,4510218,Megan Thee Stallion,4794212,"['houston rap', 'pop', 'pop rap', 'trap queen']",75,0.843,0.741,-5.609,0.334,0.0252,0.096,168.983,155497,0.68,B,82,70,1,11,0.0,4,1,2,"['houston rap', 'pop', 'pop rap', 'trap queen']"
20,6,TROLLZ (with Nicki Minaj),4700152,6ix9ine,6514102,"['emo rap', 'rap']",65,0.744,0.422,-8.946,0.294,0.0319,0.11,180.006,202667,0.493,C#/Db,71,5,1,1,0.00011,4,1,1,['emo rap']
29,28,High Fashion (feat. Mustard),4592772,Roddy Ricch,6608815,"['melodic rap', 'rap', 'trap']",77,0.831,0.499,-8.442,0.114,0.269,0.3,97.956,220487,0.511,B,80,73,0,11,0.0,4,1,11,"['melodic rap', 'rap', 'trap']"
32,16,Myron,4593309,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",76,0.771,0.654,-6.976,0.298,0.055,0.214,155.047,224955,0.573,G#/Ab,85,73,0,8,0.0,4,1,1,"['melodic rap', 'philly rap', 'rap', 'trap']"
25,9,Say So (feat. Nicki Minaj),4385148,Doja Cat,8671649,"['dance pop', 'pop']",69,0.856,0.641,-4.64,0.204,0.119,0.427,111.004,206221,0.745,B,88,65,0,11,4.97e-06,4,1,1,"['dance pop', 'pop', 'pop rap']"
26,27,No Idea,4369849,Don Toliver,1606884,"['rap', 'trap']",80,0.652,0.631,-5.718,0.0893,0.524,0.165,127.998,154424,0.35,F#/Gb,78,2,0,6,0.000579,4,0,1,"['rap', 'trap']"
125,15,Make You Mine,4356213,PUBLIC,165504,['indie rockism'],77,0.606,0.799,-4.452,0.0261,0.0128,0.15,103.014,232907,0.638,A,61,77,1,9,0.0,4,0,2,['indie rockism']
79,11,Selfish,4754830,Madison Beer,3370013,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",70,0.375,0.461,-6.202,0.0279,0.627,0.386,75.217,223270,0.233,A,71,66,1,9,0.0,4,0,1,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']"
15,24,My Oh My (feat. DaBaby),4413457,Camila Cabello,22698747,"['dance pop', 'electropop', 'pop', 'post-teen pop']",78,0.724,0.491,-6.024,0.0296,0.018,0.0887,105.046,170746,0.383,G#/Ab,82,75,1,8,1.29e-05,4,0,4,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
79,1,Replay,7479618,Lady Gaga,18585963,"['dance pop', 'pop', 'post-teen pop']",63,0.658,0.878,-3.875,0.123,0.00792,0.944,122.015,186653,0.683,C#/Db,84,66,1,1,0.0,4,0,12,"['dance pop', 'pop', 'post-teen pop']"
91,1,Babylon,6996402,Lady Gaga,18585963,"['dance pop', 'pop', 'post-teen pop']",61,0.698,0.799,-4.372,0.0342,0.0129,0.215,115.957,161733,0.351,D,84,64,1,2,5.46e-06,4,0,16,"['dance pop', 'pop', 'post-teen pop']"
54,14,CITY OF ANGELS,4645541,24kGoldn,1276406,['cali rap'],76,0.686,0.541,-4.993,0.0493,0.042,0.0675,120.082,112493,0.724,C,74,72,0,0,0.0,4,0,4,['cali rap']
42,12,Moral of the Story,4609358,Ashe,644479,"['alt z', 'electropop', 'indie pop', 'pop', 'post-teen pop']",75,0.572,0.406,-8.624,0.0427,0.587,0.102,119.812,201084,0.265,A#/Bb,68,76,1,10,4.48e-06,4,1,1,"['alt z', 'electropop', 'indie pop', 'pop', 'post-teen pop']"
38,18,SUGAR,4362442,BROCKHAMPTON,1836564,"['boy band', 'hip hop', 'rap']",75,0.453,0.538,-8.212,0.0638,0.449,0.19,122.973,204533,0.516,C#/Db,68,73,1,1,0.0,4,1,2,"['boy band', 'hip hop', 'rap']"
